ModelName,Response,Corr,Trial,CorrRes,Duration,Feedback
vgg19-block5-conv2-unpooling-encoder,3,1,37,3,1000,True
vgg19-block5-conv2-unpooling-encoder,2,0,38,1,1000,True
vgg19-block5-conv2-unpooling-encoder,1,0,39,2,1000,True
vgg19-block5-conv2-unpooling-encoder,2,1,40,2,1500,True
vgg19-block5-conv2-unpooling-encoder,2,1,41,2,1500,True
vgg19-block5-conv2-unpooling-encoder,2,0,42,1,3000,True
vgg19-block5-conv2-unpooling-encoder,3,0,43,1,3000,True
vgg19-block5-conv2-unpooling-encoder,1,0,44,3,3000,True
vgg19-block5-conv2-unpooling-encoder,1,0,45,3,4000,True
vgg19-block4-conv2-unpooling-encoder,3,1,1,3,1500,True
vgg19-block4-conv2-unpooling-encoder,1,1,2,1,1500,True
vgg19-block4-conv2-unpooling-encoder,1,0,3,2,1500,True
vgg19-block4-conv2-unpooling-encoder,2,1,4,2,1500,True
vgg19-block4-conv2-unpooling-encoder,1,0,5,3,1500,True
vgg19-block4-conv2-unpooling-encoder,3,0,6,2,1500,True
vgg19-block4-conv2-unpooling-encoder,3,1,7,3,1500,True
vgg19-block4-conv2-unpooling-encoder,3,0,8,2,1500,True
vgg19-block4-conv2-unpooling-encoder,2,1,9,2,1500,True
vgg19-block4-conv2-unpooling-encoder,1,1,10,1,1500,True
vgg19-block4-conv2-unpooling-encoder,1,1,11,1,1500,True
vgg19-block4-conv2-unpooling-encoder,2,1,12,2,1500,True
vgg19-block4-conv2-unpooling-encoder,1,0,13,3,1000,True
vgg19-block4-conv2-unpooling-encoder,1,1,14,1,1000,True
vgg19-block4-conv2-unpooling-encoder,2,1,15,2,1000,True
vgg19-block4-conv2-unpooling-encoder,3,1,16,3,1000,True
vgg19-block4-conv2-unpooling-encoder,1,1,17,1,1000,True
vgg19-block4-conv2-unpooling-encoder,2,1,18,2,1000,True
vgg19-block4-conv2-unpooling-encoder,2,0,19,1,1000,True
vgg19-block4-conv2-unpooling-encoder,1,0,20,3,750,True
vgg19-block4-conv2-unpooling-encoder,3,0,21,1,750,True
vgg19-block4-conv2-unpooling-encoder,1,0,22,3,750,True
vgg19-block4-conv2-unpooling-encoder,3,0,23,1,750,True
vgg19-block4-conv2-unpooling-encoder,2,0,24,1,750,True
vgg19-block4-conv2-unpooling-encoder,2,1,25,2,750,True
vgg19-block4-conv2-unpooling-encoder,2,1,26,2,750,True
vgg19-block4-conv2-unpooling-encoder,2,1,27,2,750,True
vgg19-block4-conv2-unpooling-encoder,1,1,28,1,750,True
vgg19-block4-conv2-unpooling-encoder,3,0,29,1,750,True
vgg19-block4-conv2-unpooling-encoder,2,1,30,2,750,True
vgg19-block4-conv2-unpooling-encoder,2,0,31,3,750,True
vgg19-block4-conv2-unpooling-encoder,2,0,32,1,750,True
vgg19-block4-conv2-unpooling-encoder,3,0,33,1,750,True
vgg19-block4-conv2-unpooling-encoder,2,1,34,2,750,True
vgg19-block4-conv2-unpooling-encoder,3,0,35,1,750,True
vgg19-block4-conv2-unpooling-encoder,1,0,36,3,750,True
vgg19-block4-conv2-unpooling-encoder,2,0,37,3,1000,True
vgg19-block4-conv2-unpooling-encoder,2,0,38,1,1000,True
vgg19-block4-conv2-unpooling-encoder,1,0,39,2,1000,True
vgg19-block4-conv2-unpooling-encoder,2,1,40,2,1500,True
vgg19-block4-conv2-unpooling-encoder,2,1,41,2,1500,True
vgg19-block4-conv2-unpooling-encoder,2,0,42,1,3000,True
vgg19-block4-conv2-unpooling-encoder,3,0,43,1,3000,True
vgg19-block4-conv2-unpooling-encoder,1,0,44,3,3000,True
vgg19-block4-conv2-unpooling-encoder,1,0,45,3,4000,True
vgg19-block1-conv2-unpooling-encoder,3,1,1,3,1500,True
vgg19-block1-conv2-unpooling-encoder,1,1,2,1,1500,True
vgg19-block1-conv2-unpooling-encoder,1,0,3,2,1500,True
vgg19-block1-conv2-unpooling-encoder,2,1,4,2,1500,True
vgg19-block1-conv2-unpooling-encoder,1,0,5,3,1500,True
vgg19-block1-conv2-unpooling-encoder,3,0,6,2,1500,True
vgg19-block1-conv2-unpooling-encoder,3,1,7,3,1500,True
vgg19-block1-conv2-unpooling-encoder,3,0,8,2,1500,True
vgg19-block1-conv2-unpooling-encoder,2,1,9,2,1500,True
vgg19-block1-conv2-unpooling-encoder,1,1,10,1,1500,True
vgg19-block1-conv2-unpooling-encoder,1,1,11,1,1500,True
vgg19-block1-conv2-unpooling-encoder,2,1,12,2,1500,True
vgg19-block1-conv2-unpooling-encoder,1,0,13,3,1000,True
vgg19-block1-conv2-unpooling-encoder,1,1,14,1,1000,True
vgg19-block1-conv2-unpooling-encoder,2,1,15,2,1000,True
vgg19-block1-conv2-unpooling-encoder,3,1,16,3,1000,True
vgg19-block1-conv2-unpooling-encoder,1,1,17,1,1000,True
vgg19-block1-conv2-unpooling-encoder,2,1,18,2,1000,True
vgg19-block1-conv2-unpooling-encoder,2,0,19,1,1000,True
vgg19-block1-conv2-unpooling-encoder,1,0,20,3,750,True
vgg19-block1-conv2-unpooling-encoder,3,0,21,1,750,True
vgg19-block1-conv2-unpooling-encoder,1,0,22,3,750,True
