,cnn00_dense10_conv10_augment.npy,cnn00_dense10_conv11_augment.npy,cnn00_dense10_conv2_augment.npy,cnn00_dense10_conv3_augment.npy,cnn00_dense10_conv4_augment.npy,cnn00_dense10_conv5_augment.npy,cnn00_dense10_conv6_augment.npy,cnn00_dense10_conv7_augment.npy,cnn00_dense10_conv8_augment.npy,cnn00_dense10_conv9_augment.npy,cnn00_dense1_conv10_augment.npy,cnn00_dense1_conv11_augment.npy,cnn00_dense1_conv2_augment.npy,cnn00_dense1_conv3_augment.npy,cnn00_dense1_conv4_augment.npy,cnn00_dense1_conv5_augment.npy,cnn00_dense1_conv6_augment.npy,cnn00_dense1_conv7_augment.npy,cnn00_dense1_conv8_augment.npy,cnn00_dense1_conv9_augment.npy,cnn00_dense2_conv10_augment.npy,cnn00_dense2_conv11_augment.npy,cnn00_dense2_conv2_augment.npy,cnn00_dense2_conv3_augment.npy,cnn00_dense2_conv4_augment.npy,cnn00_dense2_conv5_augment.npy,cnn00_dense2_conv6_augment.npy,cnn00_dense2_conv7_augment.npy,cnn00_dense2_conv8_augment.npy,cnn00_dense2_conv9_augment.npy,cnn00_dense3_conv10_augment.npy,cnn00_dense3_conv11_augment.npy,cnn00_dense3_conv2_augment.npy,cnn00_dense3_conv3_augment.npy,cnn00_dense3_conv4_augment.npy,cnn00_dense3_conv5_augment.npy,cnn00_dense3_conv6_augment.npy,cnn00_dense3_conv7_augment.npy,cnn00_dense3_conv8_augment.npy,cnn00_dense3_conv9_augment.npy,cnn00_dense4_conv10_augment.npy,cnn00_dense4_conv11_augment.npy,cnn00_dense4_conv2_augment.npy,cnn00_dense4_conv3_augment.npy,cnn00_dense4_conv4_augment.npy,cnn00_dense4_conv5_augment.npy,cnn00_dense4_conv6_augment.npy,cnn00_dense4_conv7_augment.npy,cnn00_dense4_conv8_augment.npy,cnn00_dense4_conv9_augment.npy,cnn00_dense5_conv10_augment.npy,cnn00_dense5_conv11_augment.npy,cnn00_dense5_conv2_augment.npy,cnn00_dense5_conv3_augment.npy,cnn00_dense5_conv4_augment.npy,cnn00_dense5_conv5_augment.npy,cnn00_dense5_conv6_augment.npy,cnn00_dense5_conv7_augment.npy,cnn00_dense5_conv8_augment.npy,cnn00_dense5_conv9_augment.npy,cnn00_dense6_conv10_augment.npy,cnn00_dense6_conv11_augment.npy,cnn00_dense6_conv2_augment.npy,cnn00_dense6_conv3_augment.npy,cnn00_dense6_conv4_augment.npy,cnn00_dense6_conv5_augment.npy,cnn00_dense6_conv6_augment.npy,cnn00_dense6_conv7_augment.npy,cnn00_dense6_conv8_augment.npy,cnn00_dense6_conv9_augment.npy,cnn00_dense7_conv10_augment.npy,cnn00_dense7_conv11_augment.npy,cnn00_dense7_conv2_augment.npy,cnn00_dense7_conv3_augment.npy,cnn00_dense7_conv4_augment.npy,cnn00_dense7_conv5_augment.npy,cnn00_dense7_conv6_augment.npy,cnn00_dense7_conv7_augment.npy,cnn00_dense7_conv8_augment.npy,cnn00_dense7_conv9_augment.npy,cnn00_dense8_conv10_augment.npy,cnn00_dense8_conv11_augment.npy,cnn00_dense8_conv2_augment.npy,cnn00_dense8_conv3_augment.npy,cnn00_dense8_conv4_augment.npy,cnn00_dense8_conv5_augment.npy,cnn00_dense8_conv6_augment.npy,cnn00_dense8_conv7_augment.npy,cnn00_dense8_conv8_augment.npy,cnn00_dense8_conv9_augment.npy,cnn00_dense9_conv10_augment.npy,cnn00_dense9_conv11_augment.npy,cnn00_dense9_conv2_augment.npy,cnn00_dense9_conv3_augment.npy,cnn00_dense9_conv4_augment.npy,cnn00_dense9_conv5_augment.npy,cnn00_dense9_conv6_augment.npy,cnn00_dense9_conv7_augment.npy,cnn00_dense9_conv8_augment.npy,cnn00_dense9_conv9_augment.npy
cnn00_dense10_conv10_augment.npy,1.0,0.87097627,0.8615561,0.85637295,0.055135816,0.87112087,0.85449576,0.18801053,0.87970644,0.15768024,0.87448895,0.8696279,0.10012558,0.073052675,0.06875868,0.05585787,0.07817857,0.19687594,0.8819463,0.87671745,0.112082556,0.8623691,0.08208193,0.08471531,0.085831545,0.09017227,0.16716905,0.047940347,0.030266402,0.13635004,0.8653337,0.115828484,0.056218944,0.09262385,0.082809195,0.27911413,0.16199854,0.8723386,0.060425207,0.14610763,0.13620527,0.871476,0.0442502,0.06406479,0.08520631,0.15575115,0.8727371,0.8662997,0.05712186,0.85194623,0.115353644,0.10894254,0.07553121,0.04334001,0.8755543,0.8684923,0.86434615,0.8586752,0.12009992,0.122381054,0.86571175,0.86751837,0.8642477,0.09851867,0.07877755,0.12868516,0.8707208,0.87184936,0.8566809,0.1324816,0.8695719,0.858525,0.861206,0.095723376,0.8729233,0.8671907,0.8643119,0.8778342,0.8740144,0.85438216,0.1451971,0.86364865,0.86225986,0.861027,0.090617225,0.2149117,0.8648148,0.056225397,0.8678983,0.097942635,0.87208945,0.878172,0.86931777,0.86237097,0.8753906,0.87543017,0.8738528,0.8806085,0.8725287,0.8680136
cnn00_dense10_conv11_augment.npy,0.87097627,1.0,0.98793447,0.9873549,0.071206585,0.9923185,0.9881625,0.19467674,0.99432546,0.1594889,0.9957179,0.9972162,0.10306971,0.05823806,0.051889203,0.040254045,0.068121456,0.14960152,0.99383,0.99486154,0.10158651,0.99451035,0.08732481,0.07421567,0.07850145,0.113938265,0.15562125,0.03758222,0.021278337,0.13040128,0.9467847,0.109724656,0.05337538,0.08668488,0.07381546,0.2134593,0.15027127,0.99389017,0.07307306,0.14325243,0.13212082,0.99678206,0.041687258,0.051601563,0.07717111,0.14871483,0.9942921,0.99292475,0.074833885,0.99142236,0.101066336,0.09654346,0.0781167,0.033017516,0.9913026,0.9925881,0.9939599,0.9870862,0.11043355,0.11227033,0.9943494,0.9966308,0.989083,0.086979814,0.080037445,0.14857793,0.9949216,0.9936382,0.99202484,0.1267663,0.9954764,0.9940766,0.98588157,0.0980105,0.99103284,0.9928273,0.9931853,0.99418753,0.99435073,0.9920193,0.07810602,0.9963335,0.9874613,0.98808384,0.089644514,0.21318056,0.99240786,0.06363062,0.9927053,0.10831596,0.9945178,0.9954332,0.9889427,0.9888497,0.9913045,0.99394524,0.9945404,0.99380326,0.9942909,0.99582493
cnn00_dense10_conv2_augment.npy,0.8615561,0.98793447,1.0,0.9889943,0.07751113,0.9906364,0.98612714,0.20489565,0.98946214,0.17261085,0.98914015,0.9896061,0.121537596,0.07430484,0.06456401,0.052085713,0.08117752,0.16637301,0.9893697,0.99020916,0.11412908,0.98819435,0.10446673,0.08940725,0.0917505,0.12634026,0.17287019,0.04850973,0.030627778,0.14320351,0.94336945,0.12097101,0.06825665,0.102458864,0.08482306,0.23526251,0.16578303,0.9905466,0.08304782,0.15333366,0.14511076,0.98874056,0.05533617,0.06456938,0.09247469,0.16530481,0.99125296,0.9887134,0.08627352,0.98644716,0.113024764,0.10994822,0.09223191,0.04398762,0.9909808,0.99155676,0.99186665,0.98698837,0.124832,0.12552027,0.9878717,0.988904,0.99458873,0.09642432,0.08625594,0.15894638,0.9912561,0.9889793,0.98693615,0.13998282,0.989327,0.986399,0.994861,0.107081614,0.98986614,0.99125296,0.989969,0.9892203,0.98873514,0.9864166,0.090786055,0.98856866,0.9943377,0.98945063,0.1008705,0.22192328,0.99124515,0.07314224,0.987324,0.11909124,0.988139,0.98896617,0.9955096,0.9899196,0.99084264,0.9926919,0.9916127,0.99012804,0.98933446,0.9884568
cnn00_dense10_conv3_augment.npy,0.85637295,0.9873549,0.9889943,1.0,0.07361035,0.9898155,0.98803914,0.19923404,0.98965824,0.16927333,0.9887059,0.9892427,0.12069774,0.07382758,0.065766566,0.052842982,0.08314477,0.16267356,0.9879538,0.98881054,0.10985067,0.9889548,0.104130395,0.090081446,0.094055615,0.12700398,0.1670948,0.049121536,0.032325722,0.14000054,0.93322253,0.116902344,0.06859518,0.10455995,0.087309256,0.22574408,0.16085735,0.9904232,0.07935985,0.1485589,0.14152943,0.98891634,0.056393787,0.06655794,0.08982842,0.16202039,0.99026304,0.99097604,0.07968739,0.9893213,0.11081596,0.1061253,0.09451484,0.046488438,0.99188936,0.99109876,0.99112225,0.9819539,0.121372804,0.12293145,0.9882017,0.98851955,0.9901493,0.09110727,0.08276255,0.15244831,0.99024606,0.989691,0.9897168,0.13828413,0.98950076,0.98796874,0.98873836,0.102577776,0.9926977,0.9912011,0.9902748,0.989606,0.98973185,0.9890251,0.08826086,0.98895043,0.9889464,0.9934746,0.097334564,0.21689034,0.9906312,0.06810525,0.9892871,0.113126315,0.98785454,0.98687106,0.98852587,0.9950927,0.990676,0.99098605,0.9904805,0.9896854,0.9900469,0.9894296
cnn00_dense10_conv4_augment.npy,0.055135816,0.071206585,0.07751113,0.07361035,1.0,0.07569361,0.071521096,0.40764958,0.071901515,0.065442435,0.07261585,0.07137057,0.09600436,0.07652544,0.08045894,0.07970165,0.088243194,0.10008002,0.07407305,0.07356303,-0.01380467,0.070574686,0.09877061,0.08882411,0.08529177,0.38982803,0.007621969,0.098395646,0.093475044,-0.01048172,0.12485434,-0.019864092,0.09497073,0.08918965,0.10684865,0.08474939,0.013768196,0.07233515,0.62920314,0.40402636,-0.02072439,0.07142491,0.09396793,0.071638785,0.15746798,0.02716501,0.07435033,0.07047161,0.6524148,0.06906801,-0.0075390036,0.005777737,0.08721075,0.08185083,0.07399872,0.0754428,0.07444766,0.07721257,0.0050419928,0.015560839,0.071298175,0.069828145,0.07605413,0.77290267,0.86112636,0.7053964,0.07305121,0.072706826,0.071841925,0.007850066,0.07177188,0.07124694,0.079525776,0.81000364,0.07465259,0.0742287,0.07371871,0.07236034,0.07067599,0.07049768,0.05097545,0.07186056,0.077629864,0.075097546,0.637924,0.4787157,0.07460718,0.7009348,0.06915816,0.6102322,0.072252974,0.07207404,0.080062896,0.07542917,0.07352504,0.0780486,0.07433484,0.073089875,0.07120005,0.070075035
cnn00_dense10_conv5_augment.npy,0.87112087,0.9923185,0.9906364,0.9898155,0.07569361,1.0,0.9913819,0.20040141,0.9923061,0.17164522,0.99237347,0.99297106,0.116558395,0.07114606,0.06345301,0.05079322,0.080129854,0.16180128,0.99210477,0.9925787,0.11159421,0.9897285,0.10064546,0.087444596,0.090767056,0.12232776,0.16951217,0.04732106,0.030687088,0.14151336,0.9454606,0.11902497,0.06477941,0.10005147,0.085333124,0.23116784,0.16336751,0.9931991,0.0814968,0.14923224,0.1429289,0.9915852,0.053291835,0.06328535,0.09227271,0.16274467,0.99600804,0.99164045,0.08428284,0.98854923,0.11160087,0.10735613,0.09086792,0.043713193,0.99178106,0.9966109,0.99544895,0.98878604,0.12214819,0.123716675,0.990254,0.9913498,0.9915066,0.09252198,0.085132435,0.1578188,0.99506706,0.99060786,0.9892649,0.13890348,0.9918795,0.9895808,0.9889832,0.104786664,0.9923106,0.9965724,0.9943966,0.9936333,0.9918218,0.9896795,0.08781338,0.99111384,0.9892377,0.9885669,0.09821341,0.21902008,0.9944913,0.07228564,0.98967284,0.11699132,0.9899309,0.99069864,0.9917855,0.99073976,0.9916411,0.9966674,0.9958631,0.99252844,0.99139875,0.9921957
cnn00_dense10_conv6_augment.npy,0.85449576,0.9881625,0.98612714,0.98803914,0.071521096,0.9913819,1.0,0.19526435,0.9887265,0.1655381,0.9874905,0.98859155,0.1178303,0.07230648,0.06338695,0.050808422,0.08026733,0.15661466,0.98535126,0.98653114,0.10528691,0.98848087,0.10325123,0.0885209,0.09050287,0.12553613,0.16082443,0.046063438,0.03086855,0.13440236,0.9279578,0.11166328,0.06689569,0.10102379,0.08425261,0.22198571,0.15569161,0.9895865,0.07578865,0.14601791,0.13527627,0.9874731,0.05440798,0.06488253,0.088178955,0.15747388,0.9925698,0.99093103,0.07829952,0.9895458,0.105517134,0.10082271,0.0918241,0.04485959,0.9874826,0.99261963,0.99301636,0.979514,0.114638716,0.117241085,0.98643434,0.98661655,0.987281,0.08594024,0.07964393,0.15065567,0.9913795,0.98760045,0.98978895,0.13350204,0.98889536,0.9893495,0.9843537,0.09886276,0.9885977,0.99225104,0.9941122,0.9900222,0.9892465,0.99071395,0.08306377,0.9888138,0.9846855,0.98635507,0.09565304,0.21537818,0.99277085,0.06587828,0.98866105,0.10870759,0.9845969,0.9831428,0.9853962,0.9879831,0.9866151,0.99055296,0.99237907,0.9879308,0.9888169,0.98957324
cnn00_dense10_conv7_augment.npy,0.18801053,0.19467674,0.20489565,0.19923404,0.40764958,0.20040141,0.19526435,1.0,0.1985228,0.26461366,0.19715866,0.19467698,0.22896622,0.21487762,0.19640517,0.19715376,0.1921819,0.17634013,0.20081618,0.19818756,0.14141928,0.19234763,0.22080041,0.2290465,0.20440456,0.39113966,0.18145265,0.18187706,0.16677329,0.14353976,0.25129858,0.13288262,0.21306206,0.21110365,0.19952787,0.1963273,0.16210648,0.19870019,0.4919989,0.78603643,0.14516589,0.19189931,0.19711696,0.18518871,0.19256668,0.17700921,0.19666485,0.19408955,0.49769816,0.18655796,0.1436572,0.14997104,0.20200925,0.18328586,0.19554877,0.20005193,0.19671139,0.20079467,0.16158819,0.15960577,0.19175516,0.18992136,0.20251639,0.49236614,0.4610091,0.5415166,0.19801968,0.19876812,0.1945043,0.15987489,0.19451097,0.19288112,0.20691176,0.49074453,0.19896005,0.19791017,0.19603796,0.19820747,0.19580553,0.19107495,0.10130009,0.19327353,0.20334569,0.20075734,0.42578074,0.79886013,0.19708814,0.43478763,0.19465044,0.46507674,0.19394305,0.19466989,0.20529903,0.19818899,0.197235,0.20044631,0.19584848,0.19707923,0.19514175,0.19126569
cnn00_dense10_conv8_augment.npy,0.87970644,0.99432546,0.98946214,0.98965824,0.071901515,0.9923061,0.9887265,0.1985228,1.0,0.1646434,0.9961232,0.99584496,0.108798884,0.06428094,0.05749727,0.04533806,0.07446671,0.1559401,0.99689245,0.9957074,0.105596974,0.994172,0.09344682,0.08006846,0.08420419,0.11785562,0.16119328,0.042060472,0.026205434,0.134252,0.9469932,0.11320855,0.059151355,0.0925149,0.07894604,0.22326185,0.15527353,0.9972235,0.0765503,0.14752555,0.13596179,0.9953605,0.046830405,0.05796908,0.08360334,0.15453538,0.99524033,0.99680716,0.07848531,0.9923696,0.10538545,0.10125811,0.08424443,0.038416613,0.99409235,0.9943062,0.99504465,0.9879241,0.11535609,0.11736324,0.99338603,0.99406135,0.99006236,0.09000715,0.08201916,0.15267223,0.99576056,0.9970454,0.99421066,0.13184237,0.99604875,0.9920895,0.9887345,0.10159771,0.9940286,0.9938659,0.9940437,0.997454,0.99858093,0.9928837,0.08429492,0.99424964,0.9896034,0.9914335,0.093489386,0.21904784,0.99433935,0.06673014,0.9972323,0.11180993,0.9945323,0.99474615,0.99119514,0.992348,0.9946416,0.9952813,0.995718,0.9981818,0.9980463,0.99559677
cnn00_dense10_conv9_augment.npy,0.15768024,0.1594889,0.17261085,0.16927333,0.065442435,0.17164522,0.1655381,0.26461366,0.1646434,1.0,0.16106771,0.16176425,0.54297954,0.57139945,0.60549456,0.59532875,0.5888549,0.5767603,0.16728064,0.1611751,0.6424943,0.15685871,0.52070904,0.58810264,0.59132123,0.33190376,0.715888,0.56322664,0.52633834,0.68090504,0.13824077,0.63934964,0.5012884,0.5982143,0.5739676,0.57989085,0.6656907,0.16839963,0.391238,0.30616587,0.6510565,0.15700015,0.5247091,0.56533194,0.5549685,0.70756954,0.16326654,0.16087897,0.36845225,0.15339784,0.6855563,0.6574873,0.57347035,0.53391427,0.16273001,0.17179428,0.16521327,0.18059066,0.6740502,0.6976838,0.15501332,0.1577829,0.17121314,0.075871564,0.103633106,0.30359754,0.16280355,0.15962484,0.1570288,0.7271765,0.15759742,0.15183331,0.17774704,0.09062542,0.1665247,0.16730814,0.15986955,0.1668917,0.1617986,0.15801084,0.34959546,0.15543672,0.16958523,0.16903926,0.16664818,0.20386691,0.16558033,0.30594933,0.16126974,0.3886759,0.15714812,0.16259298,0.17254595,0.16834076,0.1683214,0.16407962,0.1621081,0.16171305,0.15863104,0.15544096
cnn00_dense1_conv10_augment.npy,0.87448895,0.9957179,0.98914015,0.9887059,0.07261585,0.99237347,0.9874905,0.19715866,0.9961232,0.16106771,1.0,0.9980036,0.10429499,0.059599455,0.05303916,0.041010283,0.0696976,0.14986439,0.99701864,0.99867064,0.102006994,0.9952808,0.08964751,0.07588487,0.08033205,0.11466872,0.15739274,0.038456567,0.022740986,0.13158682,0.9497974,0.11015504,0.05539811,0.08801465,0.07486904,0.21438272,0.1511079,0.99602586,0.07524672,0.14575268,0.1329255,0.996675,0.043248042,0.053646516,0.07909225,0.15006648,0.9956846,0.9945221,0.077553876,0.99373233,0.102016196,0.098057464,0.07989047,0.034712933,0.9935485,0.9932289,0.9955233,0.9886042,0.11193576,0.113460034,0.9972747,0.9968091,0.98972434,0.090537526,0.08170617,0.15103167,0.9962066,0.9958666,0.99268514,0.12776643,0.99851245,0.9930014,0.98774236,0.10124623,0.9928556,0.99362534,0.9937316,0.99528193,0.99627626,0.9940031,0.07979619,0.9955949,0.98940516,0.99118936,0.091488175,0.21675703,0.99425644,0.06550939,0.99463606,0.11057839,0.9977954,0.9970807,0.9902808,0.99118,0.99436754,0.99556553,0.99631315,0.9963834,0.99635863,0.997981
cnn00_dense1_conv11_augment.npy,0.8696279,0.9972162,0.9896061,0.9892427,0.07137057,0.99297106,0.98859155,0.19467698,0.99584496,0.16176425,0.9980036,1.0,0.104170725,0.05860035,0.052794,0.040850922,0.069255844,0.15074937,0.99621546,0.9973011,0.10391555,0.99674046,0.0890692,0.075194955,0.07981071,0.11533646,0.1590058,0.03871965,0.022662917,0.13346447,0.94754285,0.112023555,0.05492618,0.08782651,0.07530012,0.21436806,0.15295066,0.99587864,0.074563794,0.14381124,0.13474518,0.9977114,0.04287706,0.052986585,0.0803455,0.15130298,0.9959674,0.9947884,0.07667293,0.9934792,0.10352423,0.09932359,0.07963437,0.034177292,0.9933834,0.9936962,0.99579763,0.9887689,0.113411956,0.11478446,0.9961702,0.997904,0.9901396,0.08739479,0.08008627,0.1497222,0.9964095,0.9953063,0.9928723,0.12948248,0.9972936,0.99458915,0.9882365,0.09852797,0.99293405,0.99429953,0.9943875,0.9953842,0.99609035,0.9932899,0.0795652,0.99669147,0.9897095,0.9909301,0.09034957,0.21348664,0.9945386,0.064499006,0.9944514,0.10944605,0.99689704,0.9974199,0.990708,0.9913823,0.9939926,0.9956298,0.9964743,0.99599975,0.9962122,0.99742883
