,cnn00_dense1_conv2_augment.npy,cnn00_dense1_conv3_augment.npy,cnn00_dense1_conv4_augment.npy,cnn00_dense1_conv5_augment.npy,cnn00_dense1_conv6_augment.npy,cnn00_dense1_conv7_augment.npy,cnn01_dense1_conv8_augment.npy,cnn01_dense1_conv9_augment.npy,cnn01_dense1_conv10_augment.npy,cnn01_dense1_conv11_augment.npy,cnn00_dense2_conv2_augment.npy,cnn00_dense2_conv3_augment.npy,cnn00_dense2_conv4_augment.npy,cnn00_dense2_conv5_augment.npy,cnn00_dense2_conv6_augment.npy,cnn00_dense2_conv7_augment.npy,cnn00_dense2_conv8_augment.npy,cnn00_dense2_conv9_augment.npy,cnn00_dense2_conv10_augment.npy,cnn01_dense2_conv11_augment.npy,cnn00_dense3_conv2_augment.npy,cnn00_dense3_conv3_augment.npy,cnn00_dense3_conv4_augment.npy,cnn00_dense3_conv5_augment.npy,cnn00_dense3_conv6_augment.npy,cnn01_dense3_conv7_augment.npy,cnn00_dense3_conv8_augment.npy,cnn00_dense3_conv9_augment.npy,cnn01_dense3_conv10_augment.npy,cnn00_dense3_conv11_augment.npy,cnn00_dense4_conv2_augment.npy,cnn00_dense4_conv3_augment.npy,cnn00_dense4_conv4_augment.npy,cnn00_dense4_conv5_augment.npy,cnn01_dense4_conv6_augment.npy,cnn01_dense4_conv7_augment.npy,cnn00_dense4_conv8_augment.npy,cnn01_dense4_conv9_augment.npy,cnn00_dense4_conv10_augment.npy,cnn01_dense4_conv11_augment.npy,cnn00_dense5_conv2_augment.npy,cnn00_dense5_conv3_augment.npy,cnn01_dense5_conv4_augment.npy,cnn01_dense5_conv5_augment.npy,cnn01_dense5_conv6_augment.npy,cnn01_dense5_conv7_augment.npy,cnn00_dense5_conv8_augment.npy,cnn00_dense5_conv9_augment.npy,cnn00_dense5_conv10_augment.npy,cnn00_dense5_conv11_augment.npy,cnn01_dense6_conv2_augment.npy,cnn00_dense6_conv3_augment.npy,cnn00_dense6_conv4_augment.npy,cnn00_dense6_conv5_augment.npy,cnn01_dense6_conv6_augment.npy,cnn01_dense6_conv7_augment.npy,cnn01_dense6_conv8_augment.npy,cnn00_dense6_conv9_augment.npy,cnn01_dense6_conv10_augment.npy,cnn01_dense6_conv11_augment.npy,cnn02_dense7_conv2_augment.npy,cnn00_dense7_conv3_augment.npy,cnn01_dense7_conv4_augment.npy,cnn01_dense7_conv5_augment.npy,cnn01_dense7_conv6_augment.npy,cnn01_dense7_conv7_augment.npy,cnn01_dense7_conv8_augment.npy,cnn01_dense7_conv9_augment.npy,cnn01_dense7_conv10_augment.npy,cnn01_dense7_conv11_augment.npy,cnn02_dense8_conv2_augment.npy,cnn01_dense8_conv3_augment.npy,cnn00_dense8_conv4_augment.npy,cnn00_dense8_conv5_augment.npy,cnn01_dense8_conv6_augment.npy,cnn00_dense8_conv7_augment.npy,cnn02_dense8_conv8_augment.npy,cnn00_dense8_conv9_augment.npy,cnn00_dense8_conv10_augment.npy,cnn01_dense8_conv11_augment.npy,cnn02_dense9_conv2_augment.npy,cnn01_dense9_conv3_augment.npy,cnn01_dense9_conv4_augment.npy,cnn01_dense9_conv5_augment.npy,cnn01_dense9_conv6_augment.npy,cnn02_dense9_conv7_augment.npy,cnn02_dense9_conv8_augment.npy,cnn01_dense9_conv9_augment.npy,cnn01_dense9_conv10_augment.npy,cnn01_dense9_conv11_augment.npy,cnn01_dense10_conv2_augment.npy,cnn01_dense10_conv3_augment.npy,cnn00_dense10_conv4_augment.npy,cnn01_dense10_conv5_augment.npy,cnn01_dense10_conv6_augment.npy,cnn00_dense10_conv7_augment.npy,cnn01_dense10_conv8_augment.npy,cnn00_dense10_conv9_augment.npy,cnn01_dense10_conv10_augment.npy,cnn02_dense10_conv11_augment.npy
cnn00_dense1_conv2_augment.npy,1.0,0.8803303,0.83898354,0.8244616,0.8017156,0.4274106,0.76267225,0.73136985,0.72024775,0.7207115,0.9071757,0.88039887,0.8154703,0.38490763,0.5676442,0.7520602,0.69865036,0.5307329,0.5219843,0.7351684,0.8642778,0.8528193,0.7630678,0.40709022,0.54452306,0.71270823,0.24370793,0.24897054,0.7258785,0.4723661,0.8741931,0.80204123,0.6290797,0.66430175,0.77301705,0.7450348,0.27507588,0.73580724,0.5002259,0.71785504,0.8522458,0.77502316,0.8055656,0.7696109,0.7337885,0.7169466,0.5838348,0.6263177,0.5743116,0.5586756,0.8438379,0.09421853,0.09928617,0.22692847,0.7679864,0.72303146,0.70170224,0.62219435,0.68437093,0.68539673,0.8347975,0.09696136,0.11745207,0.7352184,0.7583004,0.732778,0.7192722,0.7042696,0.7125399,0.68251914,0.7732023,0.13696447,0.22951713,0.21551621,0.21019125,0.20635675,0.66928333,0.22761442,0.42763063,0.10453154,0.82544315,0.765754,0.07760189,0.097252496,0.7152711,0.6964158,0.6559784,0.6859251,0.6752318,0.7009209,0.7298403,0.7672505,0.09600436,0.71464676,0.17938276,0.22896624,0.7055127,0.54297954,0.10769259,0.6847389
cnn00_dense1_conv3_augment.npy,0.8803303,1.0,0.8880182,0.87190735,0.8503204,0.42972964,0.81781226,0.80530095,0.7737521,0.77642643,0.88219583,0.90523905,0.85516596,0.4026703,0.5800516,0.7985704,0.7444452,0.547508,0.5370868,0.7749326,0.86003566,0.89184254,0.8029847,0.39063233,0.55056643,0.79520243,0.2465155,0.24273826,0.78445876,0.48687756,0.87546957,0.84994656,0.6374814,0.688089,0.82491124,0.8047825,0.26339802,0.7932929,0.5126518,0.7664261,0.86308324,0.82289004,0.83594346,0.8274184,0.7959659,0.77002215,0.5984832,0.65574414,0.6044089,0.57476693,0.85300046,0.07263841,0.079236515,0.2019743,0.81238395,0.7912223,0.7761734,0.6528641,0.74730426,0.7313949,0.8442663,0.06604926,0.08177326,0.79416525,0.81630516,0.7806143,0.78208035,0.7688772,0.77979445,0.7527061,0.78804314,0.105841026,0.21252637,0.18755792,0.17829493,0.20076627,0.7550406,0.22635598,0.43258965,0.07550906,0.8525854,0.8346145,0.04780006,0.07085436,0.7663121,0.77077425,0.72850007,0.7475682,0.7311909,0.75570256,0.73962724,0.8090999,0.07652544,0.7652064,0.15315968,0.21487762,0.7632542,0.57139945,0.10640583,0.7452607
cnn00_dense1_conv4_augment.npy,0.83898354,0.8880182,1.0,0.9054118,0.89484453,0.43209898,0.86721855,0.852205,0.8454253,0.8302947,0.84566534,0.89862835,0.9055172,0.39810777,0.60794324,0.85268664,0.8118685,0.5837122,0.5659477,0.82994324,0.85631096,0.90548366,0.86002874,0.39705005,0.5812538,0.84480655,0.26622373,0.24007776,0.83406913,0.515766,0.8700486,0.872369,0.6753872,0.7230181,0.87201655,0.8533999,0.2776284,0.83891875,0.53888404,0.83133906,0.86742985,0.8506882,0.864034,0.8491652,0.83987147,0.8290094,0.63371724,0.69861627,0.6407801,0.6153734,0.8577522,0.08790883,0.08623892,0.20615235,0.8597775,0.8483846,0.827032,0.6966722,0.8120283,0.78700566,0.82901317,0.079490855,0.066064775,0.8360675,0.862536,0.82373726,0.8404659,0.81813353,0.8309977,0.8074106,0.77847636,0.03296863,0.21289748,0.17566188,0.17894837,0.20813692,0.81232756,0.239699,0.4242701,0.027648473,0.8482876,0.8664574,0.028856564,0.07238574,0.82657415,0.82130533,0.7841205,0.8006784,0.7907427,0.7921927,0.7835682,0.8234375,0.08045894,0.8358106,0.14681602,0.19640517,0.82300526,0.6054946,0.111484684,0.7959501
cnn00_dense1_conv5_augment.npy,0.8244616,0.87190735,0.9054118,1.0,0.8915636,0.42356128,0.8661461,0.84203905,0.8358957,0.8372109,0.8323728,0.88361466,0.8890997,0.37942252,0.62048906,0.8613456,0.80616534,0.5955787,0.58125234,0.8265189,0.8403708,0.884768,0.83137864,0.39040235,0.5924519,0.8348211,0.25218827,0.23443055,0.8386101,0.5260483,0.8594922,0.8470634,0.65989816,0.7258544,0.87351197,0.8566456,0.2662922,0.8510659,0.5508001,0.81813645,0.84816605,0.8231539,0.85563993,0.84802246,0.8267556,0.8326549,0.6438852,0.7038818,0.6424118,0.62291783,0.84531265,0.08534703,0.0820276,0.1963739,0.85808694,0.8392144,0.82918686,0.7020767,0.80628836,0.8021507,0.81686693,0.08059362,0.07662462,0.80721205,0.85848606,0.8269017,0.8443009,0.81187075,0.8312992,0.79359883,0.76001245,0.0524689,0.20217481,0.17168973,0.1775959,0.20198867,0.8060659,0.23099789,0.4324161,0.045196675,0.8386336,0.8550122,0.03765557,0.070225395,0.8292303,0.81270474,0.7587363,0.78989935,0.79927003,0.7829048,0.77315336,0.8111245,0.07970165,0.816107,0.14915974,0.19715376,0.822002,0.59532875,0.106000274,0.79563934
cnn00_dense1_conv6_augment.npy,0.8017156,0.8503204,0.89484453,0.8915636,1.0,0.40674,0.8684619,0.84868985,0.8347096,0.83016866,0.8101128,0.8635208,0.8946294,0.42221567,0.59175473,0.8719637,0.8367347,0.5617501,0.5491544,0.833446,0.82328165,0.8815083,0.8604013,0.38263685,0.5661497,0.8537447,0.25198844,0.23148058,0.85999733,0.49119592,0.8471037,0.8567033,0.688926,0.7142587,0.8720565,0.84396416,0.2736182,0.8426874,0.5203895,0.82835126,0.8519605,0.84834206,0.82965845,0.8399766,0.8394174,0.8321387,0.6179063,0.6950201,0.6306596,0.6007471,0.82730764,0.083348684,0.08840822,0.21048194,0.8501291,0.83751744,0.84866536,0.6955207,0.82947844,0.7935881,0.7978671,0.086186655,0.07213115,0.8099441,0.86040044,0.81438255,0.83817095,0.81349325,0.8380933,0.8026081,0.7287194,0.059819475,0.22562794,0.1768847,0.18510434,0.19895266,0.8301834,0.2269115,0.42418677,0.057172496,0.82548404,0.8412388,0.0369059,0.08093426,0.8383854,0.82520795,0.7903504,0.79734814,0.79686785,0.78737,0.7436128,0.7791805,0.088243194,0.83229125,0.14201258,0.1921819,0.8157801,0.58885485,0.11831998,0.78067636
cnn00_dense1_conv7_augment.npy,0.4274106,0.42972964,0.43209898,0.42356128,0.40674,1.0,0.46488878,0.5109251,0.45913112,0.47083336,0.3766099,0.44528764,0.39269203,0.27025855,0.7108622,0.39259484,0.33422193,0.65204996,0.6382341,0.47642568,0.32439658,0.4236173,0.38494137,0.8106207,0.7192359,0.44282973,0.22412287,0.20430028,0.42567146,0.6010754,0.3634754,0.36130208,0.5676431,0.672458,0.4594736,0.43986607,0.2090891,0.36075038,0.6399613,0.48933282,0.37621927,0.30813915,0.52877927,0.55794704,0.48204544,0.46727547,0.63816524,0.6303967,0.640108,0.62038714,0.4482021,0.09983553,0.11809113,0.1958118,0.49727982,0.48714024,0.42141333,0.6267717,0.4293967,0.40370935,0.44288942,0.12275518,0.09365383,0.49733385,0.48030615,0.4523209,0.5204643,0.46633297,0.41885823,0.5042945,0.49240324,0.057269696,0.256905,0.15594308,0.19097565,0.18961963,0.42831638,0.2224865,0.54377884,0.03869219,0.43993068,0.4592561,0.10080983,0.13534659,0.46173152,0.46681988,0.44696623,0.48013446,0.48307958,0.5394015,0.4637903,0.48605925,0.10008002,0.4705358,0.1767775,0.17634013,0.5185237,0.5767603,0.18615402,0.5028071
cnn01_dense1_conv8_augment.npy,0.76267225,0.81781226,0.86721855,0.8661461,0.8684619,0.46488878,1.0,0.88347936,0.88909274,0.8623181,0.7703086,0.83577967,0.86243886,0.42137617,0.6487561,0.85137004,0.8387545,0.63680565,0.6137761,0.86278987,0.79118747,0.8617285,0.8516905,0.429364,0.62136817,0.8631123,0.25958773,0.21240167,0.8751344,0.5622965,0.81188875,0.8379091,0.6947096,0.7562856,0.8857446,0.86944145,0.26617634,0.8343207,0.5907134,0.8813782,0.8326007,0.8262189,0.86191165,0.86131054,0.8870275,0.8582953,0.6903848,0.75492555,0.7088684,0.6734993,0.83714974,0.04881664,0.056276727,0.18288228,0.8843966,0.8883983,0.85608566,0.7603147,0.8772717,0.8005142,0.80700994,0.051090073,0.03552366,0.85607654,0.8705903,0.8654168,0.88316196,0.87308997,0.8689088,0.8632473,0.7656211,0.034764983,0.2224157,0.13943858,0.17107712,0.19279857,0.8584103,0.2349307,0.43661955,0.046184815,0.81944704,0.84857005,0.0086333575,0.05545,0.8626368,0.8661362,0.8401688,0.86578,0.8284069,0.8427994,0.7873655,0.82232267,0.052218616,0.87358856,0.13103741,0.16985844,0.8685106,0.65926135,0.11578978,0.84686047
cnn01_dense1_conv9_augment.npy,0.73136985,0.80530095,0.852205,0.84203905,0.84868985,0.5109251,0.88347936,1.0,0.87977505,0.85670805,0.7289352,0.81746954,0.84824353,0.43411598,0.6394441,0.82892925,0.8033912,0.61821085,0.58360565,0.842086,0.7564735,0.85013205,0.8332778,0.46858418,0.6026072,0.8896082,0.28856748,0.2381214,0.854975,0.5438618,0.7752376,0.83040744,0.6826046,0.74572015,0.888835,0.8898327,0.27716336,0.83685964,0.56880623,0.8772398,0.8082671,0.81309164,0.8600963,0.8768657,0.8907271,0.8470882,0.6572486,0.7365349,0.6870706,0.639225,0.821281,0.05764657,0.05935932,0.18800311,0.8776831,0.90034646,0.8657916,0.74146456,0.87296504,0.7804918,0.7985721,0.05553723,0.046052553,0.8911556,0.87632453,0.857067,0.8916464,0.8743056,0.8705869,0.89691156,0.7751703,0.028946193,0.22925794,0.14248492,0.16927163,0.21419571,0.8776651,0.26316947,0.4412258,0.015772821,0.82400745,0.8752966,0.016092286,0.072469115,0.8426743,0.89312726,0.87063247,0.8872408,0.8162694,0.87282914,0.77684134,0.8362707,0.04756957,0.87505853,0.15039022,0.18819544,0.86475396,0.704079,0.14111832,0.86493313
cnn01_dense1_conv10_augment.npy,0.72024775,0.7737521,0.8454253,0.8358957,0.8347096,0.45913112,0.88909274,0.87977505,1.0,0.852829,0.7225971,0.8102451,0.8438123,0.4054286,0.64526343,0.8293952,0.8352875,0.6334649,0.6097161,0.85757303,0.76461655,0.83808655,0.8305986,0.43814248,0.61226314,0.85628235,0.28253096,0.23743099,0.8544855,0.5632457,0.77427924,0.8176041,0.6658178,0.7436771,0.87494355,0.8622557,0.27473342,0.82087433,0.59139526,0.8812949,0.79419994,0.806482,0.85906774,0.8464741,0.88302886,0.83998185,0.6896066,0.75102484,0.707478,0.67185843,0.82711506,0.066280015,0.058504637,0.18256158,0.8805308,0.8945707,0.8316445,0.7481868,0.87429243,0.7935796,0.7862734,0.0606189,0.04178583,0.87389416,0.8569364,0.87252533,0.880936,0.87927574,0.8626556,0.8705099,0.7720674,0.0064308043,0.20652224,0.14430438,0.17150924,0.20850472,0.84368813,0.2608388,0.39263266,0.0030647845,0.7933485,0.8511331,0.0060795764,0.068501845,0.8532848,0.8699439,0.83495635,0.8769671,0.8176095,0.8344864,0.7952552,0.8326889,0.04568253,0.87074834,0.15079994,0.18737227,0.871919,0.67408884,0.11517701,0.85195404
cnn01_dense1_conv11_augment.npy,0.7207115,0.77642643,0.8302947,0.8372109,0.83016866,0.47083336,0.8623181,0.85670805,0.852829,1.0,0.726903,0.8051288,0.8326888,0.3279817,0.6750161,0.8380743,0.7979352,0.67841,0.6677634,0.86124,0.7428677,0.81760263,0.7879324,0.4267384,0.6490835,0.8248238,0.22549666,0.20313855,0.84506506,0.6213758,0.7779012,0.7862925,0.6351325,0.7637623,0.86592644,0.8538905,0.22975318,0.83755344,0.6399896,0.83269805,0.78113306,0.76106703,0.83977395,0.8380094,0.8332778,0.85957134,0.7268115,0.7737481,0.72248054,0.70593464,0.81568635,0.05505947,0.044609748,0.1523847,0.8683781,0.85886663,0.8296595,0.77315724,0.8359252,0.83677244,0.7768246,0.05273288,0.047007967,0.81385523,0.86071813,0.835743,0.87235355,0.8443376,0.850729,0.8322325,0.75080466,0.017661348,0.16660555,0.12531723,0.13903861,0.17016166,0.81395674,0.2159105,0.4695007,0.004832401,0.7954698,0.8400944,0.007010461,0.055558447,0.84240586,0.83398706,0.79089653,0.82130164,0.8477221,0.8035761,0.7698566,0.8036477,0.035342924,0.8198657,0.12551181,0.16049132,0.8694811,0.6264668,0.1021778,0.8530648
cnn00_dense2_conv2_augment.npy,0.9071757,0.88219583,0.84566534,0.8323728,0.8101128,0.3766099,0.7703086,0.7289352,0.7225971,0.726903,1.0,0.88472265,0.8311635,0.3927009,0.5299855,0.768544,0.72589207,0.49222973,0.4861704,0.73459697,0.8917291,0.8643436,0.77640444,0.36106718,0.4996391,0.72405696,0.23344336,0.24600284,0.7360053,0.43346134,0.8966245,0.82704467,0.607717,0.63428044,0.7864404,0.75729513,0.26450196,0.75663346,0.4620099,0.7180818,0.87258685,0.80376273,0.8027785,0.76605994,0.7400573,0.7169836,0.55755335,0.60188055,0.54454315,0.52883106,0.8634224,0.095779434,0.09415224,0.21808654,0.77302384,0.72922194,0.7176562,0.59978884,0.694103,0.7068273,0.8547161,0.08880166,0.11536595,0.7374116,0.7726959,0.7427518,0.7168303,0.70926386,0.73121053,0.6820851,0.7765804,0.13686965,0.21736051,0.21121228,0.19958983,0.19470601,0.67932945,0.21540499,0.42358536,0.109663896,0.8355467,0.7798385,0.06895632,0.08780667,0.72557294,0.7051623,0.6645285,0.69119716,0.6806069,0.69992584,0.7463108,0.774926,0.0987706,0.7203157,0.17015335,0.22080041,0.7049271,0.52070904,0.10072092,0.6784379
cnn00_dense2_conv3_augment.npy,0.88039887,0.90523905,0.89862835,0.88361466,0.8635208,0.44528764,0.83577967,0.81746954,0.8102451,0.8051288,0.88472265,1.0,0.8815968,0.3960834,0.5989463,0.82323194,0.77898663,0.5676364,0.5568127,0.8090283,0.87515074,0.90942067,0.83226085,0.4182946,0.5705042,0.80099094,0.2568497,0.26081708,0.7973626,0.5053058,0.88729244,0.8654792,0.6552947,0.70847064,0.8505214,0.8373954,0.27489805,0.8190265,0.53236794,0.79015654,0.8750535,0.838853,0.86469716,0.8424884,0.8114506,0.7962799,0.62665623,0.6769666,0.6197129,0.5999722,0.87857056,0.09888735,0.09189963,0.21223317,0.8464755,0.81528056,0.7855565,0.6716168,0.7700855,0.76968986,0.85610884,0.09080635,0.10114163,0.8234207,0.83838946,0.81520146,0.8085727,0.79533726,0.80149925,0.77143943,0.80606693,0.08745068,0.21951744,0.2041372,0.19537087,0.21156415,0.75972915,0.23910359,0.4475533,0.0627925,0.8566817,0.85659724,0.054191537,0.09196229,0.79568,0.78785264,0.7404444,0.7784731,0.7530645,0.7709837,0.79229885,0.83878136,0.0888241,0.7988872,0.17263506,0.2290465,0.79216355,0.58810264,0.11016763,0.7738081
cnn00_dense2_conv4_augment.npy,0.8154703,0.85516596,0.9055172,0.8890997,0.8946294,0.39269203,0.86243886,0.84824353,0.8438123,0.8326888,0.8311635,0.8815968,1.0,0.41645893,0.5769603,0.87396646,0.8524864,0.54808486,0.53250504,0.8399723,0.8575807,0.9054501,0.88861275,0.37440923,0.5521309,0.8501208,0.24833034,0.24259837,0.85328686,0.4764001,0.8671436,0.8844666,0.67661697,0.71195793,0.8784178,0.8649911,0.26258767,0.8553485,0.50801754,0.83218735,0.8714692,0.8704868,0.8570912,0.8422534,0.84699917,0.8315271,0.62112695,0.6940202,0.6184173,0.59705925,0.8589451,0.09603719,0.08320638,0.19833192,0.86782825,0.85281146,0.84707785,0.6831773,0.82974833,0.81110847,0.8275744,0.091828406,0.080227025,0.8371654,0.8711488,0.8405567,0.8428294,0.82867205,0.85399467,0.810473,0.77299976,0.053392407,0.21411717,0.18745758,0.17502096,0.1951477,0.82296115,0.2264949,0.42114323,0.034627855,0.8378047,0.86516327,0.035066634,0.08271955,0.85164434,0.8366405,0.803644,0.8141414,0.7918657,0.7823241,0.79611385,0.8133463,0.08529177,0.8513078,0.1472253,0.20440456,0.8277947,0.5913213,0.11341111,0.78904766
cnn00_dense2_conv5_augment.npy,0.38490763,0.4026703,0.39810777,0.37942252,0.42221567,0.27025855,0.42137617,0.43411598,0.4054286,0.3279817,0.3927009,0.3960834,0.41645893,1.0,0.24567981,0.41085175,0.43059334,0.21088001,0.19117993,0.37718746,0.38728115,0.44529572,0.4735397,0.262239,0.2419111,0.44106677,0.4203513,0.39216873,0.40303555,0.17239791,0.38821152,0.42385107,0.4716027,0.32355785,0.39565843,0.37148848,0.43389714,0.34119755,0.18372887,0.45898318,0.424708,0.4464752,0.38597202,0.41579258,0.4576696,0.36118224,0.23544209,0.31189176,0.2868275,0.25373557,0.37752745,0.32583708,0.38304225,0.4101627,0.37187713,0.41073924,0.4119036,0.31421804,0.43525723,0.31048876,0.38987324,0.3498395,0.27125186,0.4358502,0.3584028,0.40199178,0.36930773,0.39983234,0.38821092,0.43603566,0.34735718,0.2747362,0.5578813,0.45882428,0.39650756,0.38516316,0.42824945,0.35646942,0.15904306,0.19849342,0.374085,0.38004988,0.3526998,0.30887765,0.41490525,0.4355064,0.44751826,0.46186516,0.33820182,0.43952608,0.33010104,0.36089405,0.38982803,0.45485523,0.33469674,0.39113966,0.37879035,0.33190376,0.4456701,0.33267587
cnn00_dense2_conv6_augment.npy,0.5676442,0.5800516,0.60794324,0.62048906,0.59175473,0.7108622,0.6487561,0.6394441,0.64526343,0.6750161,0.5299855,0.5989463,0.5769603,0.24567981,1.0,0.5638216,0.48631522,0.93121773,0.9166837,0.65989864,0.47274745,0.5809853,0.5245523,0.67114186,0.9434159,0.58925223,0.24809425,0.2082054,0.6109672,0.88719267,0.5222449,0.5114787,0.6361183,0.9059798,0.64128685,0.5799956,0.23433441,0.5128642,0.9234654,0.63489723,0.5325938,0.43438604,0.6834449,0.68402946,0.6357409,0.6899168,0.9022098,0.88522094,0.8978212,0.8975566,0.60186523,0.0362226,0.044240095,0.20410258,0.70694935,0.67012364,0.5844504,0.89195293,0.624649,0.58229977,0.56099397,0.05127211,0.017513117,0.6039425,0.64529663,0.60037106,0.6987257,0.62903535,0.61245406,0.6754105,0.57075363,-0.0032272346,0.13160361,0.14346975,0.17310901,0.18678075,0.604184,0.26334208,0.44309166,-0.010234681,0.57621276,0.6187669,-0.011195161,0.08623648,0.66469526,0.6397085,0.5621473,0.617318,0.7112769,0.6875511,0.5620473,0.5992254,0.0076219686,0.6473385,0.17396006,0.18145265,0.71600425,0.715888,0.063627206,0.68607736
cnn00_dense2_conv7_augment.npy,0.7520602,0.7985704,0.85268664,0.8613456,0.8719637,0.39259484,0.85137004,0.82892925,0.8293952,0.8380743,0.768544,0.82323194,0.87396646,0.41085175,0.5638216,1.0,0.87512153,0.5492718,0.5399885,0.8388483,0.7953906,0.85244244,0.86468613,0.36644349,0.55112225,0.8291855,0.24152808,0.2293534,0.8563091,0.48799816,0.8215897,0.8362204,0.7109489,0.7070164,0.8552073,0.8482477,0.27636173,0.8514581,0.5066723,0.83528626,0.81415457,0.8380391,0.81085205,0.8212686,0.82482994,0.8368194,0.6312561,0.6997983,0.62764406,0.6146605,0.8088194,0.09842148,0.0924653,0.20090489,0.83915645,0.82448643,0.8526068,0.6879156,0.82861817,0.833966,0.7744712,0.10300676,0.08453463,0.7980597,0.84096724,0.82892513,0.83432496,0.8257436,0.8420819,0.7990983,0.71300477,0.06865804,0.24101302,0.17227414,0.20087244,0.1989921,0.8032582,0.21616238,0.4317612,0.08180882,0.7846878,0.81894326,0.050924018,0.08072796,0.8503863,0.8130824,0.77962697,0.80585796,0.8167592,0.78433865,0.7616929,0.7722974,0.098395646,0.82433957,0.15044023,0.18187706,0.82650006,0.56322664,0.1279148,0.7882771
cnn00_dense2_conv8_augment.npy,0.69865036,0.7444452,0.8118685,0.80616534,0.8367347,0.33422193,0.8387545,0.8033912,0.8352875,0.7979352,0.72589207,0.77898663,0.8524864,0.43059334,0.48631522,0.87512153,1.0,0.47758925,0.47279847,0.82133126,0.7732695,0.82876855,0.8613212,0.31533048,0.4797338,0.81280124,0.24076726,0.21706355,0.8535657,0.41567296,0.78531003,0.8382881,0.6818348,0.64878684,0.8296717,0.8134747,0.2631285,0.8172172,0.4404969,0.83947814,0.79660475,0.8521201,0.7679999,0.77755696,0.83005834,0.8031294,0.5835852,0.6584058,0.5898814,0.568268,0.77563214,0.08773941,0.08168485,0.18462175,0.8092105,0.8145954,0.8420526,0.65013,0.84592205,0.79526603,0.7409091,0.09288863,0.058948092,0.7893271,0.8069573,0.8165375,0.80521953,0.8306064,0.8432557,0.789703,0.67956,0.043200452,0.24341418,0.15533212,0.17974393,0.18923637,0.8064885,0.20325425,0.3810272,0.06848025,0.7468965,0.7794181,0.03573335,0.06766028,0.8418896,0.81046265,0.8086973,0.81562346,0.7834535,0.7575493,0.7369313,0.7374023,0.09347504,0.8233239,0.12652484,0.16677329,0.8007006,0.52633834,0.12252146,0.7654272
cnn00_dense2_conv9_augment.npy,0.5307329,0.547508,0.5837122,0.5955787,0.5617501,0.65204996,0.63680565,0.61821085,0.6334649,0.67841,0.49222973,0.5676364,0.54808486,0.21088001,0.93121773,0.5492718,0.47758925,1.0,0.9335477,0.6573168,0.44181713,0.54877913,0.4895634,0.5942559,0.9212304,0.5665605,0.22165576,0.17107171,0.6037755,0.9151272,0.49373066,0.48501384,0.57420135,0.8797141,0.62793034,0.55964214,0.20851186,0.4957086,0.93379164,0.6259927,0.50168663,0.40859768,0.6615656,0.65857816,0.62037903,0.6953418,0.9119439,0.891047,0.91242486,0.9163354,0.5745582,0.010429002,0.018299153,0.16104811,0.69931424,0.6631411,0.57100105,0.8997068,0.6262519,0.57880986,0.5301218,0.025919206,-0.007418999,0.57801086,0.6288021,0.5853316,0.6948438,0.6313767,0.61958164,0.6684075,0.5416173,-0.018883904,0.0996105,0.10539583,0.14135988,0.16245599,0.5919932,0.2366612,0.4106872,-0.023903392,0.54351234,0.5980569,-0.031194383,0.05964659,0.6496101,0.6292529,0.54960203,0.6059929,0.72063184,0.6704934,0.53218246,0.57193434,-0.01048172,0.6324347,0.13882862,0.14353977,0.7226157,0.68090504,0.048912644,0.6919491
cnn00_dense2_conv10_augment.npy,0.5219843,0.5370868,0.5659477,0.58125234,0.5491544,0.6382341,0.6137761,0.58360565,0.6097161,0.6677634,0.4861704,0.5568127,0.53250504,0.19117993,0.9166837,0.5399885,0.47279847,0.9335477,1.0,0.64499044,0.43204358,0.53350925,0.46929738,0.5769123,0.91158134,0.5342192,0.19875781,0.16756506,0.59293133,0.91716105,0.48848453,0.46899542,0.562034,0.8617945,0.60649055,0.5348207,0.19461165,0.48186246,0.93401784,0.60250586,0.48474014,0.39329666,0.6399391,0.6396908,0.59339046,0.67875236,0.9070907,0.88645136,0.90898776,0.9174733,0.5614849,0.004717584,0.009484582,0.14782776,0.6756031,0.6337648,0.55316126,0.88525265,0.600726,0.5745213,0.5204771,0.022845443,-0.009973136,0.5449294,0.6109121,0.5708855,0.6728693,0.617731,0.6057824,0.63889873,0.5252736,-0.014440162,0.085653074,0.102866784,0.13203984,0.14653498,0.56719387,0.21392979,0.41866747,-0.013090256,0.5287506,0.572952,-0.03231716,0.047628168,0.64036334,0.60121304,0.5190763,0.58060944,0.7147539,0.63844943,0.5155737,0.55093884,-0.01380467,0.60622317,0.12626477,0.14141928,0.7066196,0.6424943,0.038912117,0.6732689
